Date,State,Confirmed,Recovered,Deceased,Migrated,Tested,cases_daily,tested_daily,change_daily_cases,change_daily_tests
2020-06-01,Tamil Nadu,23495,13170,187,0,503339,1162,11377,13,-1430
2020-06-02,Tamil Nadu,24586,13706,200,0,514433,1091,11094,-71,-283
2020-06-03,Tamil Nadu,25872,14316,208,0,528534,1286,14101,195,3007
2020-06-04,Tamil Nadu,27256,14901,223,0,544981,1384,16447,98,2346
2020-06-05,Tamil Nadu,28694,15762,235,0,560673,1438,15692,54,-755
2020-06-06,Tamil Nadu,30152,16395,254,0,576695,1458,16022,20,330
2020-06-07,Tamil Nadu,31667,16999,272,0,592970,1515,16275,57,253
2020-06-08,Tamil Nadu,33229,17527,289,0,607952,1562,14982,47,-1293
2020-06-09,Tamil Nadu,34914,18325,307,0,621171,1685,13219,123,-1763
2020-06-10,Tamil Nadu,36841,19333,326,0,638846,1927,17675,242,4456
2020-06-11,Tamil Nadu,38716,20705,349,0,655675,1875,16829,-52,-846
2020-06-12,Tamil Nadu,40698,22047,367,0,673906,1982,18231,107,1402
2020-06-13,Tamil Nadu,42687,23409,397,0,691817,1989,17911,7,-320
2020-06-14,Tamil Nadu,44661,24547,435,0,710599,1974,18782,-15,871
2020-06-15,Tamil Nadu,46504,25344,479,0,729002,1843,18403,-131,-379
2020-06-16,Tamil Nadu,48019,26782,528,0,748244,1515,19242,-328,839
2020-06-17,Tamil Nadu,50193,27624,576,0,773707,2174,25463,659,6221
2020-06-18,Tamil Nadu,52334,28641,625,0,800443,2141,26736,-33,1273
2020-06-19,Tamil Nadu,54449,30271,666,0,827980,2115,27537,-26,801
2020-06-20,Tamil Nadu,56845,31316,704,0,861211,2396,33231,281,5694
2020-06-21,Tamil Nadu,59377,32754,757,0,892612,2532,31401,136,-1830
2020-06-22,Tamil Nadu,62087,34112,794,0,919204,2710,26592,178,-4809
2020-06-23,Tamil Nadu,64603,35339,833,0,944352,2516,25148,-194,-1444
2020-06-24,Tamil Nadu,67468,37763,866,0,976431,2865,32079,349,6931
2020-06-25,Tamil Nadu,70977,39999,911,0,1008974,3509,32543,644,464
2020-06-26,Tamil Nadu,74622,41357,957,0,1042649,3645,33675,136,1132
2020-06-27,Tamil Nadu,78335,44094,1025,0,1077454,3713,34805,68,1130
2020-06-28,Tamil Nadu,82275,45537,1079,0,1110402,3940,32948,227,-1857
2020-06-29,Tamil Nadu,86224,47749,1141,0,1140441,3949,30039,9,-2909
2020-06-30,Tamil Nadu,90167,50074,1201,0,1170683,3943,30242,-6,203
2020-07-01,Tamil Nadu,94049,52926,1264,0,1202204,3882,31521,-61,1279
2020-07-02,Tamil Nadu,98392,56021,1321,0,1235692,4343,33488,461,1967
2020-07-03,Tamil Nadu,102721,58378,1385,0,1270720,4329,35028,-14,1540
2020-07-04,Tamil Nadu,107001,60592,1450,0,1306884,4280,36164,-49,1136
2020-07-05,Tamil Nadu,111151,62778,1510,0,1341715,4150,34831,-130,-1333
2020-07-06,Tamil Nadu,114978,66571,1571,0,1376497,3827,34782,-323,-49
2020-07-07,Tamil Nadu,118594,71116,1636,0,1413435,3616,36938,-211,2156
2020-07-08,Tamil Nadu,122350,74167,1700,0,1449414,3756,35979,140,-959
2020-07-09,Tamil Nadu,126581,78161,1765,0,1491783,4231,42369,475,6390
2020-07-10,Tamil Nadu,130261,82324,1829,0,1529092,3680,37309,-551,-5060
2020-07-11,Tamil Nadu,134226,85915,1898,0,1566917,3965,37825,285,516
2020-07-12,Tamil Nadu,138470,89532,1966,0,1609448,4244,42531,279,4706
2020-07-13,Tamil Nadu,142798,92567,2032,0,1654008,4328,44560,84,2029
2020-07-14,Tamil Nadu,147324,97310,2099,0,1695365,4526,41357,198,-3203
2020-07-15,Tamil Nadu,151820,102310,2167,0,1736747,4496,41382,-30,25
2020-07-16,Tamil Nadu,156369,107416,2236,0,1782635,4549,45888,53,4506
2020-07-17,Tamil Nadu,160907,110807,2315,0,1831304,4538,48669,-11,2781
2020-07-18,Tamil Nadu,165714,113856,2403,0,1879499,4807,48195,269,-474
2020-07-19,Tamil Nadu,170693,117915,2481,0,1932492,4979,52993,172,4798
2020-07-20,Tamil Nadu,175678,121776,2551,0,1984579,4985,52087,6,-906
2020-07-21,Tamil Nadu,180643,126670,2626,0,2035645,4965,51066,-20,-1021
2020-07-22,Tamil Nadu,186492,131583,3144,0,2095757,5849,60112,884,9046
2020-07-23,Tamil Nadu,192964,136793,3232,0,2157869,6472,62112,623,2000
2020-07-24,Tamil Nadu,192964,136793,3232,0,2157869,0,0,-6472,-62112
